ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,VPH_INTER
23,Quintana Roo,000,Total de la entidad Quintana Roo,0000,Total de la entidad,0000,000,1325578,87222
23,Quintana Roo,001,Cozumel,0000,Total del municipio,0000,000,79535,6958
23,Quintana Roo,001,Cozumel,0001,Total de la localidad urbana,0000,000,77236,6886
23,Quintana Roo,001,Cozumel,0001,Total AGEB urbana,0028,000,2738,394
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,001,92,16
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,002,56,9
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,003,116,14
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,004,76,13
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,005,62,11
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,006,70,9
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,007,71,9
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,008,38,10
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,009,60,9
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,010,59,19
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,011,53,12
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,012,62,10
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,013,150,12
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,014,115,11
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,015,78,13
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,016,111,10
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,017,64,7
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,018,81,11
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,019,120,17
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,020,47,8
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,021,22,5
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,022,57,7
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,023,40,8
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,024,51,6
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,025,11,*
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,026,3,*
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,027,0,0
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,028,34,11
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,029,15,5
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,030,91,14
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,031,69,9
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,032,88,6
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,033,112,10
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,034,87,8
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,035,81,5
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,036,71,5
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,037,11,*
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,038,66,10
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,039,87,21
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,040,55,6
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,041,25,*
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,042,5,*
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,051,19,6
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,052,25,7
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,053,10,0
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,054,0,0
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,055,0,0
23,Quintana Roo,001,Cozumel,0001,Cozumel,0028,056,22,7
23,Quintana Roo,001,Cozumel,0001,Total AGEB urbana,0032,000,3550,326
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,001,25,7
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,002,65,6
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,003,141,5
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,004,32,*
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,005,84,12
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,006,0,0
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,007,48,12
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,008,19,7
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,009,78,7
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,010,136,6
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,011,90,5
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,012,96,8
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,013,99,5
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,014,124,3
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,015,93,6
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,016,74,6
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,017,53,11
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,018,63,11
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,019,73,15
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,020,80,6
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,021,43,9
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,022,103,8
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,023,82,13
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,024,146,5
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,025,120,13
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,026,216,13
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,027,91,12
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,028,79,*
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,029,112,3
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,030,97,5
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,031,17,*
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,032,22,5
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,033,42,6
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,034,34,4
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,035,10,*
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,037,62,7
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,039,59,7
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,040,126,11
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,041,63,5
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,042,143,6
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,043,44,9
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,044,53,8
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,045,53,11
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,046,88,12
23,Quintana Roo,001,Cozumel,0001,Cozumel,0032,049,172,10
23,Quintana Roo,001,Cozumel,0001,Total AGEB urbana,0051,000,3951,486
23,Quintana Roo,001,Cozumel,0001,Cozumel,0051,001,188,19
23,Quintana Roo,001,Cozumel,0001,Cozumel,0051,002,56,9
23,Quintana Roo,001,Cozumel,0001,Cozumel,0051,003,135,8
23,Quintana Roo,001,Cozumel,0001,Cozumel,0051,004,97,15
23,Quintana Roo,001,Cozumel,0001,Cozumel,0051,005,71,5
23,Quintana Roo,001,Cozumel,0001,Cozumel,0051,006,249,19
23,Quintana Roo,001,Cozumel,0001,Cozumel,0051,007,223,26
23,Quintana Roo,001,Cozumel,0001,Cozumel,0051,008,136,13
23,Quintana Roo,001,Cozumel,0001,Cozumel,0051,009,94,9
23,Quintana Roo,001,Cozumel,0001,Cozumel,0051,010,28,*
23,Quintana Roo,001,Cozumel,0001,Cozumel,0051,011,10,3
23,Quintana Roo,001,Cozumel,0001,Cozumel,0051,012,50,7
23,Quintana Roo,001,Cozumel,0001,Cozumel,0051,013,56,10
23,Quintana Roo,001,Cozumel,0001,Cozumel,0051,014,11,*
23,Quintana Roo,001,Cozumel,0001,Cozumel,0051,015,110,18
23,Quintana Roo,001,Cozumel,0001,Cozumel,0051,016,72,13
23,Quintana Roo,001,Cozumel,0001,Cozumel,0051,017,120,10
23,Quintana Roo,001,Cozumel,0001,Cozumel,0051,018,173,11
23,Quintana Roo,001,Cozumel,0001,Cozumel,0051,019,157,11
23,Quintana Roo,001,Cozumel,0001,Cozumel,0051,020,110,15
23,Quintana Roo,001,Cozumel,0001,Cozumel,0051,021,49,8
23,Quintana Roo,001,Cozumel,0001,Cozumel,0051,022,108,11
23,Quintana Roo,001,Cozumel,0001,Cozumel,0051,023,73,13
23,Quintana Roo,001,Cozumel,0001,Cozumel,0051,024,19,4
23,Quintana Roo,001,Cozumel,0001,Cozumel,0051,025,17,4
23,Quintana Roo,001,Cozumel,0001,Cozumel,0051,026,4,*
23,Quintana Roo,001,Cozumel,0001,Cozumel,0051,027,0,0
23,Quintana Roo,001,Cozumel,0001,Cozumel,0051,028,23,4
23,Quintana Roo,001,Cozumel,0001,Cozumel,0051,030,30,4
23,Quintana Roo,001,Cozumel,0001,Cozumel,0051,031,45,6
23,Quintana Roo,001,Cozumel,0001,Cozumel,0051,032,93,12
23,Quintana Roo,001,Cozumel,0001,Cozumel,0051,033,28,8
23,Quintana Roo,001,Cozumel,0001,Cozumel,0051,034,72,13
23,Quintana Roo,001,Cozumel,0001,Cozumel,0051,035,100,18
23,Quintana Roo,001,Cozumel,0001,Cozumel,0051,036,110,12
23,Quintana Roo,001,Cozumel,0001,Cozumel,0051,037,63,10
23,Quintana Roo,001,Cozumel,0001,Cozumel,0051,038,138,18
23,Quintana Roo,001,Cozumel,0001,Cozumel,0051,039,164,17
23,Quintana Roo,001,Cozumel,0001,Cozumel,0051,040,92,10
23,Quintana Roo,001,Cozumel,0001,Cozumel,0051,041,82,14
23,Quintana Roo,001,Cozumel,0001,Cozumel,0051,042,87,10
23,Quintana Roo,001,Cozumel,0001,Cozumel,0051,043,39,7
23,Quintana Roo,001,Cozumel,0001,Cozumel,0051,044,128,19
23,Quintana Roo,001,Cozumel,0001,Cozumel,0051,045,230,38
23,Quintana Roo,001,Cozumel,0001,Cozumel,0051,046,11,*
23,Quintana Roo,001,Cozumel,0001,Cozumel,0051,052,0,0
23,Quintana Roo,001,Cozumel,0001,Cozumel,0051,053,0,0
23,Quintana Roo,001,Cozumel,0001,Cozumel,0051,054,0,0
23,Quintana Roo,001,Cozumel,0001,Total AGEB urbana,0070,000,1375,220
23,Quintana Roo,001,Cozumel,0001,Cozumel,0070,001,20,7
23,Quintana Roo,001,Cozumel,0001,Cozumel,0070,002,33,10
23,Quintana Roo,001,Cozumel,0001,Cozumel,0070,003,52,11
23,Quintana Roo,001,Cozumel,0001,Cozumel,0070,004,19,5
23,Quintana Roo,001,Cozumel,0001,Cozumel,0070,005,0,0
23,Quintana Roo,001,Cozumel,0001,Cozumel,0070,006,0,0
23,Quintana Roo,001,Cozumel,0001,Cozumel,0070,008,34,6
23,Quintana Roo,001,Cozumel,0001,Cozumel,0070,009,2,*
23,Quintana Roo,001,Cozumel,0001,Cozumel,0070,010,11,4
23,Quintana Roo,001,Cozumel,0001,Cozumel,0070,011,27,6
23,Quintana Roo,001,Cozumel,0001,Cozumel,0070,017,30,*
23,Quintana Roo,001,Cozumel,0001,Cozumel,0070,018,59,9
23,Quintana Roo,001,Cozumel,0001,Cozumel,0070,019,25,5
23,Quintana Roo,001,Cozumel,0001,Cozumel,0070,020,37,8
23,Quintana Roo,001,Cozumel,0001,Cozumel,0070,021,8,*
23,Quintana Roo,001,Cozumel,0001,Cozumel,0070,022,18,3
23,Quintana Roo,001,Cozumel,0001,Cozumel,0070,023,0,0
23,Quintana Roo,001,Cozumel,0001,Cozumel,0070,024,52,3
23,Quintana Roo,001,Cozumel,0001,Cozumel,0070,025,61,6
23,Quintana Roo,001,Cozumel,0001,Cozumel,0070,026,8,*
23,Quintana Roo,001,Cozumel,0001,Cozumel,0070,027,0,0
23,Quintana Roo,001,Cozumel,0001,Cozumel,0070,028,0,0
23,Quintana Roo,001,Cozumel,0001,Cozumel,0070,029,2,*
23,Quintana Roo,001,Cozumel,0001,Cozumel,0070,031,0,0
23,Quintana Roo,001,Cozumel,0001,Cozumel,0070,032,0,0
23,Quintana Roo,001,Cozumel,0001,Cozumel,0070,033,0,0
23,Quintana Roo,001,Cozumel,0001,Cozumel,0070,035,0,0
23,Quintana Roo,001,Cozumel,0001,Cozumel,0070,038,19,5
23,Quintana Roo,001,Cozumel,0001,Cozumel,0070,043,29,6
23,Quintana Roo,001,Cozumel,0001,Cozumel,0070,045,34,14
23,Quintana Roo,001,Cozumel,0001,Cozumel,0070,046,21,4
23,Quintana Roo,001,Cozumel,0001,Cozumel,0070,047,30,6
23,Quintana Roo,001,Cozumel,0001,Cozumel,0070,048,30,3
23,Quintana Roo,001,Cozumel,0001,Cozumel,0070,049,36,6
23,Quintana Roo,001,Cozumel,0001,Cozumel,0070,050,59,8
23,Quintana Roo,001,Cozumel,0001,Cozumel,0070,051,26,5
23,Quintana Roo,001,Cozumel,0001,Cozumel,0070,052,35,6
23,Quintana Roo,001,Cozumel,0001,Cozumel,0070,053,46,9
23,Quintana Roo,001,Cozumel,0001,Cozumel,0070,054,62,7
23,Quintana Roo,001,Cozumel,0001,Cozumel,0070,055,70,12
23,Quintana Roo,001,Cozumel,0001,Cozumel,0070,056,27,*
23,Quintana Roo,001,Cozumel,0001,Cozumel,0070,057,118,7
23,Quintana Roo,001,Cozumel,0001,Cozumel,0070,058,68,4
23,Quintana Roo,001,Cozumel,0001,Cozumel,0070,059,85,9
23,Quintana Roo,001,Cozumel,0001,Cozumel,0070,060,37,7
23,Quintana Roo,001,Cozumel,0001,Cozumel,0070,061,1,*
23,Quintana Roo,001,Cozumel,0001,Cozumel,0070,063,44,9
23,Quintana Roo,001,Cozumel,0001,Total AGEB urbana,0403,000,375,44
23,Quintana Roo,001,Cozumel,0001,Cozumel,0403,001,375,44
23,Quintana Roo,001,Cozumel,0001,Cozumel,0403,002,0,0
23,Quintana Roo,001,Cozumel,0001,Total AGEB urbana,0418,000,847,167
23,Quintana Roo,001,Cozumel,0001,Cozumel,0418,001,39,7
23,Quintana Roo,001,Cozumel,0001,Cozumel,0418,002,28,3
23,Quintana Roo,001,Cozumel,0001,Cozumel,0418,003,13,*
23,Quintana Roo,001,Cozumel,0001,Cozumel,0418,004,38,8
23,Quintana Roo,001,Cozumel,0001,Cozumel,0418,005,71,8
23,Quintana Roo,001,Cozumel,0001,Cozumel,0418,006,29,7
23,Quintana Roo,001,Cozumel,0001,Cozumel,0418,007,22,4
23,Quintana Roo,001,Cozumel,0001,Cozumel,0418,008,13,3
23,Quintana Roo,001,Cozumel,0001,Cozumel,0418,009,34,8
23,Quintana Roo,001,Cozumel,0001,Cozumel,0418,010,54,15
23,Quintana Roo,001,Cozumel,0001,Cozumel,0418,011,20,4
23,Quintana Roo,001,Cozumel,0001,Cozumel,0418,012,11,3
23,Quintana Roo,001,Cozumel,0001,Cozumel,0418,013,5,*
23,Quintana Roo,001,Cozumel,0001,Cozumel,0418,014,7,*
23,Quintana Roo,001,Cozumel,0001,Cozumel,0418,015,38,8
23,Quintana Roo,001,Cozumel,0001,Cozumel,0418,016,49,6
23,Quintana Roo,001,Cozumel,0001,Cozumel,0418,017,41,10
23,Quintana Roo,001,Cozumel,0001,Cozumel,0418,018,20,7
23,Quintana Roo,001,Cozumel,0001,Cozumel,0418,019,36,7
